noisy_input,clean_output,difficulty,split
stickty,sticky,easy,train
helpd,help,easy,train
inchessartphone,inchessmartphone,easy,train
adapter,adapters,easy,train
gchange,change,easy,train
byll,bell,easy,train
externalm,external,easy,train
qwerey,qwerty,easy,train
hackup,backup,easy,train
refrrsh,refresh,easy,train
shedls,shells,easy,train
bmsic,basic,easy,train
yoidequ,yoidesu,easy,train
jffice,office,easy,train
raiqbuvvy,rainbuvvy,easy,train
amkibo,amiibo,easy,train
furl,full,easy,train
atlamntic,atlantic,easy,train
portaxle,portable,easy,train
sfmarpthone,smarpthone,easy,train
intrinsicallv,intrinsically,easy,train
arzund,around,easy,train
ezim,esim,easy,train
conch,concha,easy,train
nleaner,cleaner,easy,train
pro-e,pro-i,easy,train
msmjga,msmga,easy,train
suppormt,support,easy,train
nose,noise,easy,train
vorce,voice,easy,train
celesial,celestial,easy,train
helpdosk,helpdesk,easy,train
energuizer,energizer,easy,train
rzr,razr,easy,train
lta,alta,easy,train
smartzfon,smartfon,easy,train
kaiog,kaios,easy,train
agis,ages,easy,train
cheapl,cheap,easy,train
tokes,tones,easy,train
weab,wear,easy,train
studmnts,students,easy,train
backbeuat,backbeat,easy,train
interfvce,interface,easy,train
war,warm,easy,train
nommunications,communications,easy,train
eyeglss,eyeglass,easy,train
ltead,lead,easy,train
unlck,unlcok,easy,train
qtosuny,tosuny,easy,train
airpag,airtag,easy,train
eurasizn,eurasian,easy,train
zapture,capture,easy,train
ialing,dialing,easy,train
lcatel,alcatel,easy,train
cnloth,cloth,easy,train
ears,years,easy,train
zcable,cable,easy,train
compny,company,easy,train
vbass,bass,easy,train
avywhere,anywhere,easy,train
discoery,discovery,easy,train
desir,desire,easy,train
uitja,uitra,easy,train
exc,exec,easy,train
bzafang,bafang,easy,train
ehhernet,ethernet,easy,train
peon,leon,easy,train
giamond,diamond,easy,train
base,based,easy,train
cohdless,cordless,easy,train
pkated,plated,easy,train
umtl,umts,easy,train
csiki,cosiki,easy,train
multidunctional,multifunctional,easy,train
basiseznheit,basiseinheit,easy,train
thinnemt,thinnest,easy,train
xree,tree,easy,train
fulhd,fullhd,easy,train
colo,color,easy,train
spyit,split,easy,train
mlagenta,magenta,easy,train
restauuant,restaurant,easy,train
eplace,replace,easy,train
ertreme,extreme,easy,train
rempresent,represent,easy,train
vidvio,vidrio,easy,train
rijg,ring,easy,train
cbarrying,carrying,easy,train
smat,smart,easy,train
behlt,belt,easy,train
sipgnal,signal,easy,train
playig,playing,easy,train
bxes,boxes,easy,train
coers,covers,easy,train
lplantronics,plantronics,easy,train
windroof,windproof,easy,train
dreises,dresses,easy,train
fites,fits,easy,train
hing,ching,easy,train
screenh,screens,easy,train
makeucp,makeup,easy,train
dzelivering,delivering,easy,train
ntagmo,tagmo,easy,train
sapphirse,sapphire,easy,train
respousive,responsive,easy,train
kufool,kufoo,easy,train
trank,trunk,easy,train
stzudent,student,easy,train
brelthing,breathing,easy,train
lightebr,lighter,easy,train
justk,just,easy,train
huawe,huawei,easy,train
luha,luna,easy,train
mieni,mini,easy,train
booklvet,booklet,easy,train
ranur,ranura,easy,train
