noisy_input,clean_output,difficulty,split
heavs,heavy,hard,train
lbzvc,lbec,hard,train
ashmh,asha,hard,train
ineegface,interface,hard,train
zgoom,zoom,hard,train
aaeeryt,azerty,hard,train
piqa,pisa,hard,train
xguavl,gravel,hard,train
shcik,shock,hard,train
agarnkn,garmin,hard,train
lcode,loaded,hard,train
tstra,astral,hard,train
zensi,sensing,hard,train
actihvti,activation,hard,train
esipm,esim,hard,train
cav,cams,hard,train
twlii,twilight,hard,train
sepalatizo,separation,hard,train
gaei,gaeirt,hard,train
hgitign,heitign,hard,train
waliwin,walking,hard,train
nyperoobi,hypermobile,hard,train
rriiznbll,riznbl,hard,train
lldatoon,lagoon,hard,train
uins,units,hard,train
witiqbg,writing,hard,train
dca,deca,hard,train
sloou,colour,hard,train
tebteringr,tethering,hard,train
photowrphn,photograph,hard,train
repcea,replace,hard,train
vratino,vibration,hard,train
gsfever,gaffer,hard,train
reaaw,read,hard,train
aun,jaune,hard,train
bladkviu,blackvue,hard,train
innclude,included,hard,train
seapr,separate,hard,train
veaasy,easy,hard,train
tce,tech,hard,train
kabsorpit,absorption,hard,train
caterpillrr,caterpillar,hard,train
ojika,oikabio,hard,train
twawefproof,waterproof,hard,train
iintecrm,intercom,hard,train
huntgodl,huntgold,hard,train
fallls,fall,hard,train
eentretainmant,entertainment,hard,train
tccss,mccs,hard,train
dcohate,decorate,hard,train
sstrurdy,sturdy,hard,train
yteriwl,material,hard,train
ioalaated,isolated,hard,train
qgliiter,glitter,hard,train
doocle,dolce,hard,train
ewruiece,earpiece,hard,train
sots,slots,hard,train
apate,adapts,hard,train
electrllpkated,electroplated,hard,train
rnpariiing,repairing,hard,train
lahaagement,management,hard,train
cqelglul,cellular,hard,train
bludtpoch,bluetooth,hard,train
ivs,iris,hard,train
satbd,stand,hard,train
xkjc,xjcx,hard,train
gkaszed,glazed,hard,train
failrhoone,fairphone,hard,train
siehr,sierra,hard,train
appek,apple,hard,train
jhqj,jtqtj,hard,train
boznts,bonus,hard,train
cjep,cheap,hard,train
cueveld,curved,hard,train
dewdrpp,dewdrop,hard,train
funxtiionsl,functional,hard,train
cooord,cord,hard,train
co,cool,hard,train
senbosrs,sensors,hard,train
wreplace,replace,hard,train
qukmobileaccessres,ukmobileaccessories,hard,train
brint,brian,hard,train
zxines,phones,hard,train
hsnsdet,handset,hard,train
celalr,clearly,hard,train
hekpfulll,helpful,hard,train
frbe,farbe,hard,train
flldx,flex,hard,train
ecmppoeria,emporia,hard,train
amerwo,marmerdo,hard,train
rpiar,rpura,hard,train
dups,dust,hard,train
smrtpohne,smartpohone,hard,train
kameeer,kamer,hard,train
inlxcuspve,inclusive,hard,train
rddim,redmi,hard,train
smhywatch,smartwatch,hard,train
kcidamos,kuidamos,hard,train
iwtek,item,hard,train
craeru,creature,hard,train
siimplimvityglam,simplicityglam,hard,train
unnloc,unlock,hard,train
whntsajp,whatsapp,hard,train
zrjs,zeus,hard,train
vxyg,oxygen,hard,train
avdentjr,adventure,hard,train
mpnec,pencil,hard,train
hemoblo,hemobllo,hard,train
ck,rack,hard,train
ebpook,ebook,hard,train
eodes,yoidesu,hard,train
oerst,forest,hard,train
ntdwtork,network,hard,train
itnitoons,ignition,hard,train
leathre,leather,hard,train
dnub,dumb,hard,train
ukcoocooa,ukcoco,hard,train
lleeon,leon,hard,train
gowwn,gowenic,hard,train
plowr,polar,hard,train
ayot,auto,hard,train
swarkdmmg,swarking,hard,train
deivf,devil,hard,train
arps,apps,hard,train
scrrlet,screen,hard,train
taokice,talkie,hard,train
lcewco,leeco,hard,train
mtraapiing,straping,hard,train
sschnurgebundeeenes,schnurgebundenes,hard,train
fsil,film,hard,train
imsspiee,inspire,hard,train
preepid,prepaid,hard,train
technolooo,technology,hard,train
fqalkin,walking,hard,train
vbesswlhfe,vbestlife,hard,train
hur,hour,hard,train
miiwroslim,microsim,hard,train
yllue,fluent,hard,train
presstsige,prestige,hard,train
slde,sleek,hard,train
dereo,doro,hard,train
masnn,main,hard,train
cowgdiee,cowhide,hard,train
urpmle,urple,hard,train
fnngerpr,fingerprint,hard,train
egqde,edge,hard,train
plyaa,play,hard,train
auminium,aluminium,hard,train
wafhcin,watching,hard,train
sevuhr,secure,hard,train
aahrnth,amaranth,hard,train
ncre,nice,hard,train
fpts,fotos,hard,train
maitr,master,hard,train
cixfo,comfort,hard,train
etiz,leitz,hard,train
lollippop,lollipop,hard,train
mypchonjne,myphone,hard,train
crossbd,crossbody,hard,train
diamin,diamond,hard,train
purssee,purse,hard,train
runehr,runners,hard,train
sreep,sleep,hard,train
reelibl,reliable,hard,train
bopod,blood,hard,train
giwa,gigaset,hard,train
patin,platinum,hard,train
erugds,earbuds,hard,train
cured,pictured,hard,train
duoso,duos,hard,train
epstra,extra,hard,train
hieiygn,heitign,hard,train
ksqartphpne,smartphone,hard,train
lievd,live,hard,train
hedlces,shelves,hard,train
calitulat,calculator,hard,train
blni,bling,hard,train
shoo,shop,hard,train
elecrtoplatm,electroplating,hard,train
yeo,oreo,hard,train
smartwch,smartwatch,hard,train
blqade,blade,hard,train
confeni,convenient,hard,train
eki,emui,hard,train
nclubsiv,inclusive,hard,train
contollerr,controller,hard,train
tern,eternal,hard,train
bwzeesl,bezels,hard,train
sypeeroom,superzoom,hard,train
duayite,daylite,hard,train
rooco,rococo,hard,train
mohbqwi,mobiwire,hard,train
innernrt,internet,hard,train
buidlledrs,builders,hard,train
xenr,xenon,hard,train
kkedd,kktdd,hard,train
mimions,minions,hard,train
ylbadkl,blackl,hard,train
tthinqn,thinq,hard,train
soudni,sound,hard,train
lliive,live,hard,train
rwgurbisehd,refurbished,hard,train
waisssstbag,waistbag,hard,train
uasss,bass,hard,train
meca,mega,hard,train
scftcphroof,scratchproof,hard,train
sesgt,sets,hard,train
ergonnpmicaloy,ergonomically,hard,train
inginhtc,infinity,hard,train
eoadbwud,earbud,hard,train
wety,qwerty,hard,train
lihhign,lighting,hard,train
brreahtin,breathing,hard,train
tictk,ticktock,hard,train
fph,fish,hard,train
criassbo,crossbody,hard,train
thnkphobn,thinkphone,hard,train
gekarss,gears,hard,train
sscnd,sand,hard,train
tatvsi,travsim,hard,train
genwrazll,general,hard,train
inoheqssmartphon,inchessmartphone,hard,train
peoze,prozessor,hard,train
nipzrpn,nippon,hard,train
reneed,renewed,hard,train
xellectfic,electric,hard,train
lhipipoo,hipipooo,hard,train
lnewnovo,lenovo,hard,train
worldwi,worldwide,hard,train
regged,rugged,hard,train
cpmon,camon,hard,train
ttmeens,teens,hard,train
hassebokad,hasselblad,hard,train
stinnak,estink,hard,train
ruhge,rugeed,hard,train
nnojhimg,nothing,hard,train
gola,gorilla,hard,train
upansih,spanish,hard,train
trxen,trend,hard,train
bwity,switch,hard,train
ultramarel,ultramarine,hard,train
syicer,sticker,hard,train
girrps,girls,hard,train
pycif,pacific,hard,train
ocidan,ocean,hard,train
srwnndby,standby,hard,train
dropshijpping,dropshipping,hard,train
slatze,slate,hard,train
bhuzb,buhb,hard,train
wrpq,wrap,hard,train
cobner,cover,hard,train
cleajdaner,cleaner,hard,train
bpakncview,blackview,hard,train
sehnhser,sennheiser,hard,train
deyoratvvev,decorative,hard,train
ieta,airtags,hard,train
dexaml,decals,hard,train
jeldoxs,elders,hard,train
fycd,fhxd,hard,train
ennyeiserr,sennheiser,hard,train
kinfdoo,kingdom,hard,train
droppaof,dropproof,hard,train
wwpr,warp,hard,train
caeboonn,carbon,hard,train
erasa,erasable,hard,train
zunwte,zunate,hard,train
repeairin,repairing,hard,train
jregulaorry,regulatory,hard,train
sldp,sleep,hard,train
foqkefy,fockety,hard,train
clseracne,clearance,hard,train
mor,months,hard,train
rettrwo,retro,hard,train
agvrfbk,agbrbk,hard,train
sogoglle,google,hard,train
eeupho,euphoria,hard,train
mskte,market,hard,train
pinne,pine,hard,train
spacger,spacegrey,hard,train
garmk,garmin,hard,train
portt,port,hard,train
nraan,naranja,hard,train
induni,infinix,hard,train
mytsiiqe,mystique,hard,train
heodr,holder,hard,train
sihlepxtre,simpleextre,hard,train
stortagrnits,storageunits,hard,train
lcomob,combo,hard,train
iess,weiss,hard,train
lsvnedey,lavender,hard,train
freee,gree,hard,train
znac,zinc,hard,train
rewti,prestige,hard,train
weattch,watch,hard,train
aqfso,aquos,hard,train
shnwy,snhey,hard,train
amib,animal,hard,train
dipmre,zipper,hard,train
kyeboard,keyboard,hard,train
oxofrd,oxford,hard,train
wnnntchmaker,watchmaker,hard,train
numbedrc,numbers,hard,train
icigol,ciciglow,hard,train
kkytdd,kktdd,hard,train
pco,poco,hard,train
mlotee,mlotech,hard,train
eihtspaqc,eightspace,hard,train
flashllig,flashlights,hard,train
bldsy,body,hard,train
errae,eraser,hard,train
sosqr,solar,hard,train
htin,latin,hard,train
mamterimal,material,hard,train
hgiibi,haibike,hard,train
superfoocfa,supervoocfast,hard,train
fsncagstic,fantastic,hard,train
sttrof,strong,hard,train
pavgrr,pager,hard,train
asnapadrgo,snapdargon,hard,train
cmuooputer,computer,hard,train
soaced,spaced,hard,train
pefrorta,perforated,hard,train
gneeeratiln,generation,hard,train
salef,shelf,hard,train
arrgeabic,arabic,hard,train
grnand,grand,hard,train
blbee,blue,hard,train
saiphirv,sapphire,hard,train
fhkgness,fitness,hard,train
eiti,edition,hard,train
discoobtinuep,discontinued,hard,train
fwcd,faceid,hard,train
uarrct,arctic,hard,train
rcordim,recording,hard,train
lankuagsse,language,hard,train
vgrs,gris,hard,train
miliitarr,military,hard,train
doisa,pisa,hard,train
truboo,turbo,hard,train
pugs,push,hard,train
verrfe,verde,hard,train
itsnim,titanium,hard,train
porf,proof,hard,train
siyzfra,sierra,hard,train
drspciayble,despicable,hard,train
udniscvey,undiscovery,hard,train
upos,tops,hard,train
isssitnat,assistant,hard,train
blinrjld,blindfold,hard,train
verrut,vertu,hard,train
zieero,zero,hard,train
buil,built,hard,train
scrtegw,screw,hard,train
feoahs,fecamos,hard,train
onesplussa,oneplus,hard,train
leln,leon,hard,train
bosnz,bronz,hard,train
gihsyd,goshyda,hard,train
poewarful,powerful,hard,train
iguanp,xiuganpo,hard,train
runnom,running,hard,train
symbjan,symbian,hard,train
guoppkonen,guophone,hard,train
lore,forest,hard,train
cellhlonej,cellphone,hard,train
epaneted,expanded,hard,train
sloidg,solid,hard,train
moibntl,mobitel,hard,train
techcmo,techno,hard,train
viiv,vive,hard,train
mulltiipl,multiple,hard,train
smaasung,smasung,hard,train
qrroligth,prolight,hard,train
thsc,thicken,hard,train
sgrpass,straps,hard,train
anstw,answer,hard,train
