noisy_input,clean_output,difficulty,split
ssnake,snake,medium,train
kapko,kapok,medium,train
heaadphones,headphones,medium,train
cnotains,contains,medium,train
stpowatch,stopwatch,medium,train
nightfa,nightfall,medium,train
packagign,packaging,medium,train
camerass,cameras,medium,train
extende,extender,medium,train
plgu,plug,medium,train
baabypone,babypone,medium,train
nnavy,navy,medium,train
recrod,record,medium,train
pplug,plug,medium,train
edgse,edges,medium,train
pebblee,pebble,medium,train
glitte,glitter,medium,train
rrugerizado,rugerizado,medium,train
patry,party,medium,train
miist,mist,medium,train
benotben,bentoben,medium,train
soncia,sonica,medium,train
professionaal,professional,medium,train
staandby,standby,medium,train
ornamennts,ornaments,medium,train
glorry,glory,medium,train
revrese,reverse,medium,train
sstationary,stationary,medium,train
composit,composite,medium,train
clothees,clothes,medium,train
laptpo,laptop,medium,train
fitnes,fitness,medium,train
activatio,activation,medium,train
etxended,extended,medium,train
repairabiliity,repairability,medium,train
snoowflake,snowflake,medium,train
iimager,imager,medium,train
beautificatiion,beautification,medium,train
deckde,decked,medium,train
nanosi,nanosim,medium,train
jihaeng,jiaheng,medium,train
ttones,tones,medium,train
callre,caller,medium,train
simplifeid,simplified,medium,train
physica,physical,medium,train
goshyad,goshyda,medium,train
coresmarttphone,coresmartphone,medium,train
windo,window,medium,train
saaving,saving,medium,train
tablteop,tabletop,medium,train
shortcu,shortcut,medium,train
reiflls,refills,medium,train
pouhc,pouch,medium,train
raiinbow,rainbow,medium,train
deevil,devil,medium,train
samusng,samsung,medium,train
exteranl,external,medium,train
dewdrpo,dewdrop,medium,train
amiiibo,amiibo,medium,train
troch,torch,medium,train
airvo,airvooc,medium,train
touhgphone,toughphone,medium,train
coontroller,controller,medium,train
maarmerdo,marmerdo,medium,train
dustprooof,dustproof,medium,train
imagiing,imaging,medium,train
handsset,handset,medium,train
prromax,promax,medium,train
ethernte,ethernet,medium,train
pthtechu,pthtechus,medium,train
sihmmer,shimmer,medium,train
priint,print,medium,train
selelrs,sellers,medium,train
resoluton,resolution,medium,train
riich,rich,medium,train
jojofunny,jojofuny,medium,train
qualcoomm,qualcomm,medium,train
arishi,airshi,medium,train
amiiob,amiibo,medium,train
carca,carcan,medium,train
chaarging,charging,medium,train
tehcnology,technology,medium,train
sprintt,sprint,medium,train
charg,charger,medium,train
dailing,dialing,medium,train
clickerr,clicker,medium,train
miad,maid,medium,train
verrsion,version,medium,train
oficin,oficina,medium,train
asrtal,astral,medium,train
bate,batery,medium,train
dircet,direct,medium,train
hunterr,hunter,medium,train
glogllow,gloglow,medium,train
dogoee,doogee,medium,train
sohcking,shocking,medium,train
bmuper,bumper,medium,train
coppre,copper,medium,train
blackvu,blackvue,medium,train
bookl,booklet,medium,train
inmrasat,inmarsat,medium,train
ietl,itel,medium,train
prviacy,privacy,medium,train
chroonicles,chronicles,medium,train
uniosc,unisoc,medium,train
resistan,resistant,medium,train
rorrpoir,rorpoir,medium,train
browsimg,browsing,medium,train
mlidaa,mlida,medium,train
dirrect,direct,medium,train
includin,including,medium,train
offiice,office,medium,train
elecrtoplated,electroplated,medium,train
rotatiom,rotation,medium,train
diomnd,dimond,medium,train
realmee,realme,medium,train
clearannce,clearance,medium,train
dewdrrop,dewdrop,medium,train
trcaer,tracer,medium,train
underrwater,underwater,medium,train
oarnge,orange,medium,train
cllutch,clutch,medium,train
sahped,shaped,medium,train
emporiaotuchsmart,emporiatouchsmart,medium,train
qbuo,qubo,medium,train
