noisy_input,clean_output,split
bittish,british,train
ssteerng,steering,train
exrc,exec,train
twlk,talk,train
adullt,adult,train
firest,forest,train
znic,zinc,train
toughpone,toughphone,train
motorrola,motorola,train
konb,knob,train
connecttion,connection,train
pagwr,pager,train
blinfdold,blindfold,train
pocdssor,processor,train
recrder,recorder,train
woonrky,wooneky,train
highdr,higher,train
igniton,ignition,train
braceelet,bracelet,train
rond,round,train
dark,drak,train
pien,pine,train
lberto,liberto,train
secttion,section,train
dsiplay,display,train
stire,store,train
plys,plus,train
coting,coating,train
imspire,inspire,train
globall,global,train
ukdigi,umidigi,train
ellipical,elliptical,train
chaange,change,train
trqnsceiver,transceiver,train
adtiv,activ,train
inspife,inspire,train
isilated,isolated,train
dimensionwl,dimensional,train
llenovoo,lenovo,train
opeener,opener,train
heakth,health,train
carryign,carrying,train
copl,cool,train
tooughphone,toughphone,train
staps,straps,train
awewone,awesome,train
ultrakight,ultralight,train
usdr,user,train
hangnig,hanging,train
exposoion,explosion,train
digogizer,digitizer,train
fush,fish,train
alpone,alpine,train
habdbsgs,handbags,train
dseire,desire,train
senosr,sensor,train
dzzling,dazzling,train
simpliciyglam,simplicityglam,train
cabinte,cabinet,train
prepiid,prepaid,train
lteest,latest,train
dognles,dongles,train
replqcement,replacement,train
supooft,supoort,train
rekewd,renewd,train
jwde,jade,train
blaackvue,blackvue,train
comoonents,components,train
toedmimy,toddmomy,train
plaed,plated,train
flasjlights,flashlights,train
ceram,cream,train
blaee,blade,train
brwsser,browser,train
archety,archery,train
adjustible,adjustable,train
sierta,sierra,train
oxgen,oxygen,train
univerrsal,universal,train
upograded,upgraded,train
wausbtag,waistbag,train
skile,smile,train
hotawv,hotwav,train
prlof,proof,train
fluod,fluid,train
computerrs,computers,train
connextor,connector,train
hotpot,hotspot,train
cass,class,train
eidfcie,edifice,train
senoor,senior,train
htdrogel,hydrogel,train
mvies,movies,train
ceedit,credit,train
dula,dual,train
syorgaaeunits,storageunits,train
phoro,photo,train
capcity,capacity,train
tsgs,tags,train
pplyisty,plyisty,train
tqlking,talking,train
sollid,solid,train
heepd,heepdd,train
joahrng,jiaheng,train
minearl,mineral,train
fashionbale,fashionable,train
reaady,ready,train
seklets,sellers,train
thuck,thick,train
amerca,america,train
comolex,complex,train
rhinsetone,rhinestone,train
gidfgaff,giffgaff,train
hewdband,headband,train
betyyo,bestyyo,train
cure,cute,train
dimeensity,dimensity,train
smarothone,smarpthone,train
resisttentte,resistente,train
discontinurd,discontinued,train
raam,ram,train
fqjas,fajas,train
masafe,magsafe,train
robuts,robust,train
prwnt,parent,train
pyonrwith,phonewith,train
studennt,student,train
adhesibe,adhesive,train
cornmig,corning,train
qualomm,qualcomm,train
sese,sense,train
abwoodam,abaodam,train
fluant,fluent,train
imch,inch,train
attrqction,attraction,train
dilaer,dialer,train
hownet,hornet,train
trabsparent,transparent,train
beautkful,beautiful,train
zlom,zoom,train
mocrosd,microsd,train
retruns,returns,train
meswaging,messaging,train
kuidsmos,kuidamos,train
gunmratl,gunmetal,train
floyn,flyon,train
doroo,doro,train
musosaly,musisaly,train
qurately,quarterly,train
kibg,king,train
vodafonee,vodafone,train
abofan,aboofan,train
ttelephotoo,telephoto,train
fiingrrpritn,fingerprint,train
extraorrdinary,extraordinary,train
fasia,fascia,train
gravle,gravel,train
caxud,caxusd,train
eldes,elders,train
fortyne,fortune,train
adlts,adults,train
graun,grain,train
inmarsqt,inmarsat,train
litz,leitz,train
fucsia,fuchsia,train
seindary,secondary,train
fontts,fonts,train
bentborn,bentoben,train
sefle,selfie,train
gunmeetal,gunmetal,train
xaiomi,xiaomi,train
waerhouse,warehouse,train
tooruty,totority,train
mysgique,mystique,train
smoooth,smooth,train
abaoeam,abaodam,train
riqeu,rique,train
panoraic,panoramic,train
howt,host,train
marshmaplow,marshmallow,train
clisser,closer,train
gravoe,gravel,train
hoinee,hootnee,train
toweer,tower,train
functtional,functional,train
fwme,fame,train
ladvo,landvo,train
niir,noir,train
hwllblau,hellblau,train
smarphobes,smarphones,train
barcers,bracers,train
tahuti,tahiti,train
grviity,gravity,train
fullbiew,fullview,train
pswipp,pssopp,train
waerdropp,waterdrop,train
rainbbvy,rainbuvvy,train
rera,rear,train
sully,supply,train
yeqrs,years,train
srart,start,train
okabio,oikabio,train
panrl,panel,train
shftcut,shortcut,train
protcetive,protective,train
plckets,pockets,train
fatlbar,faltbar,train
bsoe,bose,train
siperman,superman,train
sonoth,smooth,train
boacjl,blackl,train
motf,motif,train
touchssmart,touchsmart,train
cubott,cubot,train
opder,older,train
turboooweeer,turbopower,train
inckudes,includes,train
caloer,caller,train
assisagnce,assistance,train
dseiire,desire,train
luan,luna,train
hpedd,heepdd,train
dogit,digit,train
geolocstion,geolocation,train
drer,deer,train
teesdmiol,treadmill,train
fintit,fitbit,train
fawhlights,flashlights,train
infibite,infinite,train
gens,gems,train
copoeos,coloros,train
millipn,million,train
hoonor,honor,train
nomwd,nomad,train
ercssno,ericsson,train
gkrls,girls,train
sjellss,shells,train
plaing,plating,train
grdaing,grading,train
keychakn,keychain,train
dats,days,train
widiws,windows,train
brandinng,branding,train
moonndust,moondust,train
wokr,work,train
aksshi,akashi,train
ifrred,infrared,train
lavenddr,lavender,train
muialy,musisaly,train
landllines,landlines,train
swivdl,swivel,train
dribe,drive,train
rceiving,receiving,train
confrontatiion,confrontation,train
kaopk,kapok,train
smoogh,smooth,train
cusql,causal,train
pbsp,pbap,train
srudy,study,train
lats,lasts,train
multkfunctinoal,multifunctional,train
tghenrd,toughened,train
digiitizer,digitizer,train
riqe,rique,train
